Tournament/Split,League,Date,Game,Map,Team 1,Team 2,T1A1,T1A1P,T1A2,T1A2P,T1A3,T1A3P,T1A4,T1A4P,T1A5,T1A5P,T2A1,T2A1P,T2A2,T2A2P,T2A3,T2A3P,T2A4,T2A4P,T2A5,T2A5P,Winner,Loser
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 17, 2025",1,Fracture,NRG,C9,Brimstone,s0m,Killjoy,FNS,Breach,Ethan,Sova,Verno,Raze,mada,Brimstone,v1c,Killjoy,neT,Clove,Xeppaa,Tejo,mitch,Raze,OXY,C9,NRG
Champions Tour 2025: Americas Kickoff Round 1,Americas,"Jan 17, 2025",2,Lotus,NRG,C9,Omen,Ethan,Vyse,FNS,Viper,s0m,Fade,Verno,Raze,mada,Omen,v1c,Deadlock,neT,Breach,mitch,Tejo,Xeppaa,Raze,OXY,C9,NRG
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 18, 2025",1,Pearl,BME,T1,Astra,dos9,Killjoy,BerserX,KAY/O,Shiro,Fade,NcSlasher,Neon,Famouz,Astra,Sylvan,Killjoy,Meteor,Yoru,iZu,Sova,stax,Neon,BuZz,T1,BME
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 18, 2025",2,Bind,BME,T1,Brimstone,dos9,Vyse,BerserX,KAY/O,Shiro,Fade,NcSlasher,Raze,Famouz,Brimstone,Sylvan,Vyse,Meteor,KAY/O,stax,Gekko,iZu,Raze,BuZz,BME,T1
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 18, 2025",3,Fracture,BME,T1,Brimstone,dos9,Cypher,BerserX,Breach,NcSlasher,Tejo,Shiro,Neon,Famouz,Brimstone,Sylvan,Killjoy,Meteor,Raze,iZu,Breach,stax,Neon,BuZz,T1,BME
Champions Tour 2025: China Kickoff LR1,China,"Jan 18, 2025",1,Fracture,TEC,JDG,Brimstone,Haodong,Killjoy,Abo,Breach,B1ack,Fade,Rb,Raze,Dynamite,Brimstone,jkuro,Vyse,Z1yan,Breach,MrCANI,Tejo,Babyblue,Neon,stew,JDG,TEC
Champions Tour 2025: China Kickoff LR1,China,"Jan 18, 2025",2,Abyss,TEC,JDG,Omen,Haodong,Cypher,Abo,KAY/O,B1ack,Sova,Rb,Jett,Dynamite,Astra,Z1yan,Omen,jkuro,KAY/O,MrCANI,Sova,Babyblue,Jett,stew,JDG,TEC
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 18, 2025",1,Split,ZETA,NS,Omen,SugarZ3ro,Cypher,SyouTa,Breach,CLZ,Fade,Xdll,Raze,Dep,Astra,Persia,Cypher,margaret,KAY/O,Francis,Fade,Ivy,Neon,Dambi,NS,ZETA
Champions Tour 2025: Pacific Kickoff Round 1,Pacific,"Jan 18, 2025",2,Haven,ZETA,NS,Omen,SugarZ3ro,Cypher,SyouTa,Breach,CLZ,Sova,Xdll,Neon,Dep,Omen,Persia,Cypher,margaret,Breach,Francis,Sova,Ivy,Neon,Dambi,NS,ZETA
Champions Tour 2025: China Kickoff LR1,China,"Jan 18, 2025",1,Abyss,XLG,AG,Omen,Viva,Cypher,happywei,KAY/O,YOU,Sova,coconut,Jett,Rarga,Omen,K1ra,Vyse,bunt,Harbor,monk,Sova,Lsn,Yoru,deLb,AG,XLG
Champions Tour 2025: China Kickoff LR1,China,"Jan 18, 2025",2,Bind,XLG,AG,Brimstone,coconut,Viper,happywei,Gekko,Viva,Skye,YOU,Raze,Rarga,Brimstone,K1ra,Vyse,deLb,KAY/O,Lsn,Gekko,monk,Raze,bunt,XLG,AG
Champions Tour 2025: China Kickoff LR1,China,"Jan 18, 2025",3,Lotus,XLG,AG,Omen,happywei,Cypher,Viva,Breach,YOU,Sova,coconut,Neon,Rarga,Omen,K1ra,Cypher,deLb,Breach,Lsn,Fade,monk,Neon,bunt,XLG,AG
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 18, 2025",1,Haven,KRU,LOUD,Omen,Melser,Cypher,Shyy,Breach,Mazino,Sova,adverso,Jett,keznit,Omen,pANcada,Cypher,tuyz,Breach,v1nh,Sova,cauanzin,Jett,dgzin,LOUD,KRU
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 18, 2025",2,Split,KRU,LOUD,Omen,Melser,Cypher,Shyy,Viper,adverso,Skye,Mazino,Raze,keznit,Astra,pANcada,Cypher,tuyz,Breach,v1nny,Tejo,cauanzin,Raze,dgzin,LOUD,KRU
Champions Tour 2025: Americas Kickoff Quarters,Americas,"Jan 18, 2025",1,Split,SEN,100T,Omen,bang,Viper,Zellsis,Breach,N4RRATE,Tejo,johnqt,Yoru,zekken,Astra,zander,Sage,Cryo,Breach,Boostio,Tejo,eeiu,Raze,Asuna,100T,SEN
